,,,,Exemption 3 Statutes,,,Dates (mm/dd/yy),,,,,Disposition,,,Appeal,,,Reason for Denial on Appeal - Reason(s) ,,,Request for Expedited Processing,,,,Request for Fee Waiver,,,,
Region 5,EPA-R5-2017-004215,N,20,,,,23-Feb-17,23-Feb-17,11-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004220,N,20,,,,23-Feb-17,24-Feb-17,21-Mar-17,7,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004234,N,30,,,,23-Feb-17,24-Feb-17,29-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004236,N,20,,,,23-Feb-17,24-Feb-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004239,N,20,,,,23-Feb-17,27-Feb-17,22-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004245,N,20,,,,24-Feb-17,27-Feb-17,7-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004249,N,20,,,,24-Feb-17,27-Feb-17,29-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004250,N,20,,,,24-Feb-17,27-Feb-17,14-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004253,N,20,,,,24-Feb-17,27-Feb-17,16-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004259,N,20,,,,24-Feb-17,27-Feb-17,29-Mar-17,3,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004268,N,20,,,,24-Feb-17,27-Feb-17,15-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004277,N,30,,,,24-Feb-17,28-Feb-17,6-Apr-17,0,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004278,N,20,,,,24-Feb-17,27-Feb-17,20-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004280,N,30,,,,24-Feb-17,27-Feb-17,3-Apr-17,12,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004298,N,20,,,,27-Feb-17,27-Feb-17,14-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004299,N,20,,,,27-Feb-17,27-Feb-17,23-Mar-17,13,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004302,N,20,,,,27-Feb-17,27-Feb-17,4-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004304,N,20,,,,27-Feb-17,27-Feb-17,29-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004310,N,20,,,,27-Feb-17,27-Feb-17,14-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004323,N,20,,,,27-Feb-17,28-Feb-17,29-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004330,N,20,,,,27-Feb-17,28-Feb-17,27-Mar-17,0,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004338,N,20,,,,27-Feb-17,,28-Feb-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004339,N,20,,,,27-Feb-17,28-Feb-17,29-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004345,N,20,,,,28-Feb-17,28-Feb-17,6-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,28-Feb-17,28-Feb-17,0,Deny,
Region 5,EPA-R5-2017-004347,N,20,,,,28-Feb-17,28-Feb-17,28-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004350,N,20,,,,28-Feb-17,28-Feb-17,22-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004358,N,20,,,,28-Feb-17,28-Feb-17,7-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004361,N,20,,,,28-Feb-17,1-Mar-17,31-Mar-17,2,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004365,N,20,,,,28-Feb-17,1-Mar-17,23-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004371,N,30,,,,28-Feb-17,1-Mar-17,14-Apr-17,3,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004377,N,30,,,,28-Feb-17,1-Mar-17,5-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004378,N,20,,,,28-Feb-17,1-Mar-17,10-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004384,N,20,,,,28-Feb-17,1-Mar-17,21-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004395,N,20,,,,28-Feb-17,1-Mar-17,14-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004409,N,20,,,,1-Mar-17,1-Mar-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004411,N,20,,,,1-Mar-17,1-Mar-17,27-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004419,N,20,,,,1-Mar-17,,22-Mar-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,1-Mar-17,22-Mar-17,20,Deny,
Region 5,EPA-R5-2017-004430,N,20,,,,1-Mar-17,2-Mar-17,6-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004447,N,20,,,,1-Mar-17,2-Mar-17,22-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004454,N,20,,,,1-Mar-17,2-Mar-17,7-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004474,N,20,,,,2-Mar-17,2-Mar-17,31-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004477,N,20,,,,2-Mar-17,3-Mar-17,5-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004480,N,20,,,,2-Mar-17,3-Mar-17,22-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004486,N,20,,,,2-Mar-17,3-Mar-17,22-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004487,N,20,,,,2-Mar-17,3-Mar-17,8-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004489,N,20,,,,2-Mar-17,3-Mar-17,5-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004496,N,20,,,,3-Mar-17,3-Mar-17,23-Mar-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004505,N,20,,,,3-Mar-17,3-Mar-17,17-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004506,N,20,,,,3-Mar-17,3-Mar-17,27-Mar-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004517,N,20,,,,3-Mar-17,6-Mar-17,5-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004518,N,20,,,,3-Mar-17,6-Mar-17,5-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004519,N,20,,,,3-Mar-17,6-Mar-17,5-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004533,N,20,,,,3-Mar-17,6-Mar-17,21-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004555,N,20,,,,5-Mar-17,6-Mar-17,31-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004562,N,20,,,,6-Mar-17,6-Mar-17,5-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004569,N,20,,,,6-Mar-17,6-Mar-17,5-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004582,N,30,,,,6-Mar-17,6-Mar-17,10-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004584,N,30,,,,6-Mar-17,6-Mar-17,,,Complex,,,,,,,,,,6-Mar-17,8-Mar-17,2,Deny,,,, ,
Region 5,EPA-R5-2017-004585,N,20,,,,6-Mar-17,6-Mar-17,28-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004590,N,20,,,,6-Mar-17,6-Mar-17,22-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004600,N,20,,,,6-Mar-17,7-Mar-17,28-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004630,N,20,,,,7-Mar-17,7-Mar-17,31-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004677,N,20,,,,8-Mar-17,8-Mar-17,31-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004692,N,20,,,,8-Mar-17,9-Mar-17,5-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004693,N,20,,,,8-Mar-17,8-Mar-17,31-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004703,N,20,,,,8-Mar-17,9-Mar-17,19-Apr-17,,Expedited,No records, ,,,,,,,,9-Mar-17,28-Mar-17,18,Grant,,,, ,
Region 5,EPA-R5-2017-004708,Y,20,,,,8-Mar-17,,29-Mar-17,,Pending,, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004718,N,20,,,,9-Mar-17,9-Mar-17,5-Apr-17,,Simple,Fee-related reason, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004719,N,20,,,,9-Mar-17,,22-Mar-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004725,N,20,,,,9-Mar-17,9-Mar-17,31-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,19
Region 5,EPA-R5-2017-004731,N,20,,,,9-Mar-17,15-Mar-17,10-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004732,N,20,,,,9-Mar-17,9-Mar-17,23-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004753,N,20,,,,9-Mar-17,10-Mar-17,3-Apr-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004774,N,20,,,,10-Mar-17,10-Mar-17,14-Mar-17,,Simple,Duplicate request, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004796,N,20,,,,10-Mar-17,10-Mar-17,27-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004828,N,20,,,,13-Mar-17,14-Mar-17,29-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004831,N,20,,,,13-Mar-17,13-Mar-17,10-Apr-17,2,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004838,N,20,,,,13-Mar-17,16-Mar-17,17-Apr-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004846,N,20,,,,13-Mar-17,13-Mar-17,6-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004847,N,20,,,,13-Mar-17,14-Mar-17,24-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004871,N,20,,,,14-Mar-17,15-Mar-17,28-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004872,N,20,,,,14-Mar-17,14-Mar-17,3-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004878,N,20,,,,14-Mar-17,,15-Mar-17,,Simple,Duplicate request, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004879,N,20,,,,14-Mar-17,14-Mar-17,27-Mar-17,,Simple,Fee-related reason, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004901,N,20,,,,15-Mar-17,15-Mar-17,26-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004902,N,20,,,,15-Mar-17,15-Mar-17,27-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004929,N,30,,,,15-Mar-17,17-Mar-17,30-May-17,,Complex,Full grant, ,,,,,,,,,,, ,15-Mar-17,23-Mar-17,7,Deny,
Region 5,EPA-R5-2017-004933,N,20,,,,15-Mar-17,15-Mar-17,23-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004934,N,20,,,,15-Mar-17,15-Mar-17,31-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004935,N,20,,,,15-Mar-17,15-Mar-17,23-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004936,N,20,,,,15-Mar-17,16-Mar-17,6-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004939,N,30,,,,15-Mar-17,16-Mar-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004946,N,20,,,,15-Mar-17,16-Mar-17,3-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004951,N,20,,,,15-Mar-17,16-Mar-17,5-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004979,N,20,,,,16-Mar-17,16-Mar-17,6-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004980,N,30,,,,16-Mar-17,16-Mar-17,19-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,131
Region 5,EPA-R5-2017-005003,N,20,,,,16-Mar-17,17-Mar-17,29-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005031,N,20,,,,16-Mar-17,17-Mar-17,2-May-17,4,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005035,N,30,,,,17-Mar-17,17-Mar-17,25-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005050,N,20,,,,17-Mar-17,20-Mar-17,10-Apr-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005068,N,30,,,,19-Mar-17,21-Mar-17,26-Apr-17,,Simple,Full grant, ,,,,,,,,21-Mar-17,5-Apr-17,15,Withdrawn by Requester,19-Mar-17,5-Apr-17,17,Withdrawn by Requester,
Region 5,EPA-R5-2017-005075,N,30,,,,20-Mar-17,20-Mar-17,9-May-17,,Simple,Full grant, ,,,,,,,,,,, ,20-Mar-17,28-Mar-17,8,Deny,
Region 5,EPA-R5-2017-005092,N,20,,,,20-Mar-17,21-Mar-17,31-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,20-Mar-17,28-Mar-17,7,Deny,
Region 5,EPA-R5-2017-005103,N,20,,,,20-Mar-17,21-Mar-17,18-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005104,N,30,,,,20-Mar-17,21-Mar-17,25-Apr-17,9,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005107,N,30,,,,20-Mar-17,21-Mar-17,11-Jul-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005116,N,20,,,,21-Mar-17,21-Mar-17,12-Apr-17,0,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005118,N,20,,,,21-Mar-17,21-Mar-17,23-Mar-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005120,N,30,,,,21-Mar-17,23-Mar-17,20-Apr-17,3,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005122,N,20,,,,21-Mar-17,21-Mar-17,29-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005123,N,20,,,,21-Mar-17,21-Mar-17,20-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005163,N,20,,,,22-Mar-17,22-Mar-17,12-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005168,N,20,,,,22-Mar-17,22-Mar-17,5-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005172,N,20,,,,22-Mar-17,,23-Mar-17,,Simple,Duplicate request, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005173,N,20,,,,22-Mar-17,23-Mar-17,20-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005174,N,20,,,,22-Mar-17,23-Mar-17,13-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005197,N,20,,,,22-Mar-17,23-Mar-17,26-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005215,N,20,,,,23-Mar-17,23-Mar-17,1-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005236,N,20,,,,23-Mar-17,,27-Mar-17,,Simple,Improper FOIA request for other reason, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005247,N,20,,,,24-Mar-17,,27-Mar-17,,Simple,Improper FOIA request for other reason, ,,,,,,,,,,, ,24-Mar-17,24-Mar-17,0,Deny,
Region 5,EPA-R5-2017-005248,N,20,,,,24-Mar-17,,27-Mar-17,,Simple,Improper FOIA request for other reason, ,,,,,,,,,,, ,24-Mar-17,24-Mar-17,0,Deny,
Region 5,EPA-R5-2017-005251,N,20,,,,24-Mar-17,24-Mar-17,13-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,24-Mar-17,30-Mar-17,6,Full Grant,
Region 5,EPA-R5-2017-005254,N,20,,,,24-Mar-17,24-Mar-17,5-Apr-17,,Simple,No records, ,,,,,,,,,,, ,24-Mar-17,30-Mar-17,5,Deny,
Region 5,EPA-R5-2017-005256,N,20,,,,24-Mar-17,24-Mar-17,13-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005257,N,20,,,,24-Mar-17,24-Mar-17,13-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005262,N,20,,,,24-Mar-17,24-Mar-17,20-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005264,N,20,,,,24-Mar-17,24-Mar-17,21-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005265,N,20,,,,24-Mar-17,29-Mar-17,2-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005266,N,30,,,,24-Mar-17,24-Mar-17,21-Aug-17,0,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6",,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005268,N,20,,,,24-Mar-17,27-Mar-17,17-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005310,N,20,,,,26-Mar-17,27-Mar-17,24-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005319,N,20,,,,27-Mar-17,27-Mar-17,24-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005329,N,20,,,,27-Mar-17,27-Mar-17,26-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,25
Region 5,EPA-R5-2017-005330,N,20,,,,27-Mar-17,28-Mar-17,1-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,42
Region 5,EPA-R5-2017-005337,N,30,,,,27-Mar-17,28-Mar-17,,,Simple,,,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005343,N,20,,,,27-Mar-17,28-Mar-17,7-Apr-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005345,N,20,,,,27-Mar-17,28-Mar-17,5-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005354,N,20,,,,27-Mar-17,29-Mar-17,24-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005355,N,20,,,,27-Mar-17,,28-Mar-17,,Simple,Duplicate request, ,,,,,,,,,,, ,27-Mar-17,28-Mar-17,0,Deny,
Region 5,EPA-R5-2017-005356,N,20,,,,27-Mar-17,28-Mar-17,24-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,27-Mar-17,30-Mar-17,2,Deny,
Region 5,EPA-R5-2017-005381,N,20,,,,28-Mar-17,28-Mar-17,17-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005386,N,20,,,,28-Mar-17,28-Mar-17,4-May-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005388,N,20,,,,28-Mar-17,28-Mar-17,25-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005394,N,20,,,,28-Mar-17,28-Mar-17,2-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005416,N,30,,,,28-Mar-17,29-Mar-17,22-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005435,N,30,,,,29-Mar-17,29-Mar-17,26-May-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005438,N,20,,,,29-Mar-17,29-Mar-17,24-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005439,N,20,,,,29-Mar-17,29-Mar-17,10-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005440,N,20,,,,29-Mar-17,29-Mar-17,19-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005441,N,20,,,,29-Mar-17,29-Mar-17,24-Apr-17,1,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005442,N,20,,,,29-Mar-17,13-Apr-17,18-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005447,N,20,,,,29-Mar-17,29-Mar-17,3-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005448,N,20,,,,29-Mar-17,29-Mar-17,20-Apr-17,8,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005452,N,20,,,,29-Mar-17,29-Mar-17,6-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,29-Mar-17,4-Apr-17,5,Deny,
Region 5,EPA-R5-2017-005453,N,30,,,,29-Mar-17,29-Mar-17,1-May-17,6,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005458,N,20,,,,29-Mar-17,29-Mar-17,26-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005467,N,20,,,,29-Mar-17,29-Mar-17,10-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005468,N,20,,,,29-Mar-17,29-Mar-17,24-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005494,N,20,,,,30-Mar-17,31-Mar-17,25-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005495,Y,20,,,,30-Mar-17,,13-Apr-17,,Pending,, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005511,N,30,,,,30-Mar-17,31-Mar-17,8-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005515,N,20,,,,30-Mar-17,31-Mar-17,4-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005522,N,20,,,,30-Mar-17,31-Mar-17,11-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005525,N,20,,,,30-Mar-17,31-Mar-17,26-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005534,N,30,,,,30-Mar-17,31-Mar-17,22-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005560,N,20,,,,31-Mar-17,31-Mar-17,26-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005588,N,20,,,,31-Mar-17,3-Apr-17,1-May-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005599,N,20,,,,1-Apr-17,4-Apr-17,3-May-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005604,N,30,,,,1-Apr-17,4-Apr-17,9-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005621,N,20,,,,3-Apr-17,3-Apr-17,20-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005644,N,20,,,,3-Apr-17,4-Apr-17,3-May-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005651,N,20,,,,3-Apr-17,4-Apr-17,27-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005659,N,20,,,,3-Apr-17,4-Apr-17,1-May-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-005666,N,30,,,,3-Apr-17,18-Apr-17,23-May-17,,Simple,Full grant, ,,,,,,,,,,, ,3-Apr-17,19-Apr-17,15,Not Billable,
